"*The expenditure data in this dashboard is based on General Fund Expenditure data for:
- Years 2013-14 through 2016-17 Actuals
01 - GENERAL FUND,UNRESTRICTED,0004 - School Site Approved Appeals,Middle,204 - WEST OAKLAND MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$83 ,$111 ,$26 ,($53.52)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,1105 - TEACHERS SALARIES,"$30,200 ","$11,171 ","$3,005 ","$16,023.31 "
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,3101 - STRS CERTIFICATED,"$1,920 ","$1,612 ",$434 ,($126.11)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,3321 - MEDICARE CERTIFICATED,$404 ,$146 ,$44 ,$214.49 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,"$4,955 ","$4,918 ","$1,253 ","($1,216.27)"
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$128 ,$12 ,$3 ,$113.25 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,3601 - WORKERS COMP CERTIFICATED,"$1,701 ",$670 ,$180 ,$850.52 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$12 ,$9 ,$2 ,($0.11)
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0089 - MEASURE G PARCEL TAX,Middle,204 - WEST OAKLAND MIDDLE,5825 - CONSULTANTS,"$7,500 ","$7,500 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,1105 - TEACHERS SALARIES,"$15,989 ","$1,609 ",$0 ,"$14,380.23 "
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,3101 - STRS CERTIFICATED,"$2,307 ",$232 ,$0 ,"$2,075.08 "
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$991 ,$0 ,$0 ,$991.31 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,3321 - MEDICARE CERTIFICATED,$232 ,$23 ,$0 ,$208.52 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,"$7,333 ",$698 ,$0 ,"$6,634.62 "
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$17 ,$2 ,$0 ,$15.38 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,3601 - WORKERS COMP CERTIFICATED,$999 ,$97 ,$0 ,$902.79 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$13 ,$2 ,$0 ,$10.35 
01 - GENERAL FUND,UNRESTRICTED,1100 - STATE LOTTERY,Middle,204 - WEST OAKLAND MIDDLE,4399 - SURPLUS,$64 ,$0 ,$0 ,$63.71 
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,2205 - CLASSSUPPT SALARIES,"$62,195 ","$49,491 ","$12,423 ",$280.55 
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,3202 - PERS CLASSIFIED,"$9,640 ","$7,700 ","$1,929 ",$11.13 
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$3,856 ","$3,047 ",$770 ,$38.39 
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,3322 - MEDICARE CLASSIFIED,$902 ,$713 ,$180 ,$9.00 
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,3342 - PARS CLASSIFIED,"$1,118 ",$0 ,$224 ,$894.11 
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,3402 - HEALTH & WELFARE CLASSIFIED,"$38,104 ","$28,666 ","$7,181 ","$2,257.43 "
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$67 ,$53 ,$13 ,$0.43 
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,3602 - WORKERS COMP CLASSIFIED,"$1,940 ","$2,974 ",$745 ,"($1,779.38)"
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,3902 - OTHER BENEFITS CLASSIFIED,"$3,604 ","$3,365 ","$1,018 ",($779.40)
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,4310 - SUPPLIES,"$8,000 ","$6,062 ","$1,838 ",$100.00 
13 - CAFETERIA FUND,RESTRICTED,5310 - CHILD NUTRITION SCHOOL PROGRAM,Middle,204 - WEST OAKLAND MIDDLE,4710 - FOOD (NON-INSTRUCTIONAL),"$102,985 ","$74,984 ","$23,000 ","$5,000.62 "
13 - CAFETERIA FUND,RESTRICTED,5320 - CHILD NUTRITION CCFP CLAIMS,Middle,204 - WEST OAKLAND MIDDLE,4710 - FOOD (NON-INSTRUCTIONAL),"$24,348 ","$20,420 ","$3,928 ",$0.00 
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,2205 - CLASSSUPPT SALARIES,"$4,833 ","$3,866 ",$967 ,($0.07)
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,3202 - PERS CLASSIFIED,$749 ,$600 ,$150 ,($1.52)
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED",$300 ,$240 ,$60 ,$0.02 
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,3322 - MEDICARE CLASSIFIED,$70 ,$56 ,$14 ,$0.00 
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,3402 - HEALTH & WELFARE CLASSIFIED,"$5,470 ","$4,116 ","$1,031 ",$322.94 
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$5 ,$4 ,$1 ,($0.02)
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,3602 - WORKERS COMP CLASSIFIED,$151 ,$232 ,$58 ,($139.21)
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,3902 - OTHER BENEFITS CLASSIFIED,$391 ,$316 ,$79 ,($3.68)
13 - CAFETERIA FUND,RESTRICTED,7810 - OTHER STATE,Middle,204 - WEST OAKLAND MIDDLE,4310 - SUPPLIES,$856 ,$0 ,$0 ,$855.50 
25 - CAPITAL FACILITIES FUND,RESTRICTED,0000 - General Purpose-Unrestricted,Middle,204 - WEST OAKLAND MIDDLE,5620 - RENTALS (NON-CAPITAL LEASES),$0 ,($127),$0 ,$127.09 
25 - CAPITAL FACILITIES FUND,RESTRICTED,0000 - General Purpose-Unrestricted,Middle,204 - WEST OAKLAND MIDDLE,6274 - Other Construction,"$4,391 ",$399 ,"$3,992 ",$0.00 
35 - COUNTY SCHOOL FACILITIES FUND,RESTRICTED,7710 - STATE SCH FACILITIES P,Middle,204 - WEST OAKLAND MIDDLE,2225 - CLASSSUPPT SALARIES OVERTIME,"$1,040 ","$1,037 ",$0 ,$2.97 
35 - COUNTY SCHOOL FACILITIES FUND,RESTRICTED,7710 - STATE SCH FACILITIES P,Middle,204 - WEST OAKLAND MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED",$40 ,$38 ,$0 ,$1.59 
35 - COUNTY SCHOOL FACILITIES FUND,RESTRICTED,7710 - STATE SCH FACILITIES P,Middle,204 - WEST OAKLAND MIDDLE,3322 - MEDICARE CLASSIFIED,$15 ,$15 ,$0 ,($0.03)
35 - COUNTY SCHOOL FACILITIES FUND,RESTRICTED,7710 - STATE SCH FACILITIES P,Middle,204 - WEST OAKLAND MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$2 ,$1 ,$0 ,$0.88 
35 - COUNTY SCHOOL FACILITIES FUND,RESTRICTED,7710 - STATE SCH FACILITIES P,Middle,204 - WEST OAKLAND MIDDLE,3602 - WORKERS COMP CLASSIFIED,$63 ,$62 ,$0 ,$0.78 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,203 - FRICK MIDDLE,2220 - CLASSSUPPT SALARIES STIPENDS,"$1,120 ",$0 ,$0 ,"$1,120.00 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,203 - FRICK MIDDLE,3102 - STRS CLASSIFIED,$162 ,$0 ,$0 ,$161.62 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,203 - FRICK MIDDLE,3322 - MEDICARE CLASSIFIED,$16 ,$0 ,$0 ,$16.24 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,203 - FRICK MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$1 ,$0 ,$0 ,$1.20 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,203 - FRICK MIDDLE,3602 - WORKERS COMP CLASSIFIED,$70 ,$0 ,$0 ,$70.00 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,203 - FRICK MIDDLE,4392 - MID-YEAR ADJUSTMENT,"$4,274 ",$0 ,$0 ,"$4,273.52 "
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,203 - FRICK MIDDLE,4399 - SURPLUS,$3 ,$0 ,$0 ,$3.21 
01 - GENERAL FUND,RESTRICTED,3010 - IASA-I BASIC GRANTS LOW INCOME,Middle,203 - FRICK MIDDLE,5732 - DIRECT COST COUNSELOR,"$40,977 ","$40,977 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,203 - FRICK MIDDLE,1120 - TEACHERS SALARIES STIPENDS,"$2,500 ",$0 ,$0 ,"$2,500.00 "
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,$268 ,$0 ,$0 ,$268.25 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,203 - FRICK MIDDLE,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$38 ,$0 ,$0 ,$37.50 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,203 - FRICK MIDDLE,3321 - MEDICARE CERTIFICATED,$36 ,$0 ,$0 ,$36.25 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,203 - FRICK MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$18 ,$0 ,$0 ,$18.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,203 - FRICK MIDDLE,3601 - WORKERS COMP CERTIFICATED,$147 ,$0 ,$0 ,$147.25 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,203 - FRICK MIDDLE,5743 - DIRECT COST AFTER SCHOOL SSO,"$9,901 ","$9,901 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6010 - AFTER SCHOOL LEARNING&SAFEHOOD,Middle,203 - FRICK MIDDLE,5825 - CONSULTANTS,"$103,178 ","$86,488 ","$16,435 ",$254.58 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,1105 - TEACHERS SALARIES,"$240,458 ","$193,413 ","$47,045 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,2105 - INSTRAIDES SALARIES,"$78,378 ","$62,465 ","$15,913 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,"$34,690 ","$27,901 ","$6,789 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3202 - PERS CLASSIFIED,"$12,173 ","$9,701 ","$2,471 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$5,121 ","$4,134 ",$987 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3321 - MEDICARE CERTIFICATED,"$3,487 ","$2,804 ",$682 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3322 - MEDICARE CLASSIFIED,"$1,136 ",$906 ,$231 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3342 - PARS CLASSIFIED,$0 ,$436 ,$177 ,($613.01)
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,"$49,282 ","$39,321 ","$9,961 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3402 - HEALTH & WELFARE CLASSIFIED,"$36,293 ","$28,999 ","$7,294 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$257 ,$207 ,$50 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$84 ,$67 ,$17 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3601 - WORKERS COMP CERTIFICATED,"$14,427 ","$11,605 ","$2,823 ",$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3602 - WORKERS COMP CLASSIFIED,"$4,702 ","$3,748 ",$955 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$252 ,$200 ,$52 ,$0.00 
01 - GENERAL FUND,RESTRICTED,6500 - SPECIAL EDUCATION,Middle,203 - FRICK MIDDLE,3902 - OTHER BENEFITS CLASSIFIED,"$4,677 ","$3,743 ",$934 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,Middle,203 - FRICK MIDDLE,1120 - TEACHERS SALARIES STIPENDS,"$2,100 ",$0 ,$0 ,"$2,100.00 "
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,$522 ,$0 ,$0 ,$522.02 
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,Middle,203 - FRICK MIDDLE,4391 - CARRYOVER - PRIOR YEAR,$248 ,$0 ,$0 ,$248.00 
01 - GENERAL FUND,RESTRICTED,9011 - DONATIONS,Middle,203 - FRICK MIDDLE,5825 - CONSULTANTS,"$5,000 ","$5,000 ",$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9283 - Salesforce.Org,Middle,203 - FRICK MIDDLE,1105 - TEACHERS SALARIES,$0 ,"$9,595 ","$2,366 ","($11,960.68)"
01 - GENERAL FUND,RESTRICTED,9283 - Salesforce.Org,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,$0 ,"$1,367 ",$341 ,"($1,708.13)"
01 - GENERAL FUND,RESTRICTED,9283 - Salesforce.Org,Middle,203 - FRICK MIDDLE,3321 - MEDICARE CERTIFICATED,$0 ,$139 ,$34 ,($173.43)
01 - GENERAL FUND,RESTRICTED,9283 - Salesforce.Org,Middle,203 - FRICK MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$0 ,$10 ,$3 ,($12.83)
01 - GENERAL FUND,RESTRICTED,9283 - Salesforce.Org,Middle,203 - FRICK MIDDLE,3601 - WORKERS COMP CERTIFICATED,$0 ,$576 ,$142 ,($717.66)
01 - GENERAL FUND,RESTRICTED,9283 - Salesforce.Org,Middle,203 - FRICK MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$0 ,$8 ,$3 ,($10.97)
01 - GENERAL FUND,RESTRICTED,9332 - MEASURE G1 PARCEL TX,Middle,203 - FRICK MIDDLE,4399 - SURPLUS,$0 ,$0 ,$0 ,$0.00 
01 - GENERAL FUND,RESTRICTED,9332 - MEASURE G1 PARCEL TX,Middle,203 - FRICK MIDDLE,5825 - CONSULTANTS,"$51,530 ","$12,000 ","$38,000 ","$1,530.00 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,1105 - TEACHERS SALARIES,"$377,063 ","$316,788 ","$77,470 ","($17,195.52)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,1150 - TEACHERS SUBSTITUTES,"$31,683 ","$11,655 ",$0 ,"$20,027.82 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,"1305 - SUPV, ADMIN, INSTR COACHES SAL","$205,634 ","$171,254 ","$34,381 ",($0.67)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,2205 - CLASSSUPPT SALARIES,"$32,051 ","$23,250 ","$6,474 ","$2,326.31 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,2225 - CLASSSUPPT SALARIES OVERTIME,$500 ,$483 ,$0 ,$16.67 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,2405 - CLERICAL SALARIES,"$68,768 ","$59,255 ","$11,851 ","($2,338.31)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3101 - STRS CERTIFICATED,"$87,736 ","$71,239 ","$16,140 ",$356.08 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3202 - PERS CLASSIFIED,"$15,627 ","$12,814 ","$2,846 ",($32.92)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,"3301 - SOCSEC,MEDI,ALTSS CERTIFICATED",$0 ,$118 ,$0 ,($118.11)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,"3302 - SOCSEC,MEDI,ALTSS CLASSIFIED","$6,251 ","$5,145 ","$1,136 ",($30.72)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3321 - MEDICARE CERTIFICATED,"$8,892 ","$7,246 ","$1,622 ",$24.90 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3322 - MEDICARE CLASSIFIED,"$1,462 ","$1,203 ",$266 ,($7.17)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3341 - PARS CERTIFICATED,$0 ,$4 ,$0 ,($3.92)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3342 - PARS CLASSIFIED,"$1,202 ",$0 ,$243 ,$959.11 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3401 - HEALTH & WELFARE CERTIFICATED,"$79,530 ","$70,323 ","$17,997 ","($8,790.96)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3402 - HEALTH & WELFARE CLASSIFIED,"$7,466 ","$6,128 ","$1,229 ",$108.57 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3501 - ST UNEMPLOY INS CERTIFICATED,$585 ,$534 ,$120 ,($69.35)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3502 - ST UNEMPLOY INS CLASSIFIED,$108 ,$89 ,$20 ,($0.44)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3601 - WORKERS COMP CERTIFICATED,"$38,358 ","$29,973 ","$6,711 ","$1,674.29 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3602 - WORKERS COMP CLASSIFIED,"$6,301 ","$4,979 ","$1,100 ",$222.45 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3901 - OTHER BENEFITS CERTIFICATED,$291 ,"$1,464 ",$106 ,"($1,278.55)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,3902 - OTHER BENEFITS CLASSIFIED,$88 ,$116 ,$25 ,($51.95)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,4310 - SUPPLIES,"$29,996 ","$29,135 ",$621 ,$239.06 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,"4420 - COMPUTER < $5,000","$2,130 ","$2,128 ",$0 ,$1.76 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5515 - DISPOSAL SERVICES,"$22,755 ","$18,345 ",$0 ,"$4,410.64 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5517 - Recycling,"$1,629 ","$2,428 ",$0 ,($799.13)
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5520 - GAS-HEATING-ELECTRICITY,"$83,874 ","$58,184 ",$0 ,"$25,689.16 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5555 - WATER/SEWAGE,"$19,007 ","$20,709 ",$0 ,"($1,702.71)"
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5610 - EQUIP MAINTENANCE AGREEMT,"$3,076 ","$2,996 ",$80 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5624 - RENTALS - FACILITY,$729 ,$0 ,$0 ,$729.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5703 - INTPRGM-CENTRL PAID COUNSELORS,"$49,582 ","$49,582 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5709 - INTPRGM-CNTRL RGNL ATHL MGRS,"$22,006 ","$22,006 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5716 - INTERPGM - DUPLICATION SERVICE,$171 ,$171 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5720 - INTERPGM - MAINT WORK ORDERS,$100 ,$100 ,$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5721 - INTERPROGRAM - CUSTODIAL,"$255,129 ","$255,129 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5724 - INTERPGM - POSTAGE,"$1,200 ","$1,200 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5746 - Budget Partner,"$10,261 ","$10,261 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5747 - Human Resources Partner,"$22,606 ","$22,606 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5755 - INTPRGM-CNTRL SCHL IMPRV PARTN,"$10,814 ","$10,814 ",$0 ,$0.00 
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5826 - EXTERNAL WORK ORDER SERVICES,"$3,980 ",$0 ,"$2,080 ","$1,900.00 "
01 - GENERAL FUND,UNRESTRICTED,0000 - General Purpose-Unrestricted,Middle,203 - FRICK MIDDLE,5829 - ADMISSION  FEES,"$2,289 ",$0 ,"$2,289 ",$0.00 
